name, img, birth, death, length 
Charles-Adolphe Wurtz, http://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Charles-Adolphe_Wurtz.jpg/240px-Charles-Adolphe_Wurtz.jpg, 1817-11-26, 1884-05-10, 12654
August Michaelis, http://upload.wikimedia.org/wikipedia/commons/thumb/8/84/August_Michaelis.jpg/220px-August_Michaelis.jpg, 1847-12-26, 1916-01-31, 1418
Marcellin Berthelot, http://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Marcellin_Berthelot.jpg/250px-Marcellin_Berthelot.jpg, 1827-10-25, 1907-03-18, 13693
Theodor Curtius, http://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Theodor_Curtius.gif/200px-Theodor_Curtius.gif, 1857-05-27, 1928-02-08, 3640
Robert Dirks, http://upload.wikimedia.org/wikipedia/en/thumb/5/50/Robert_Dirks.jpg/220px-Robert_Dirks.jpg, 1978-05-29, 2015-02-03, 12841
Edward Adelbert Doisy, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Edward_A_Doisy.jpg/180px-Edward_A_Doisy.jpg, 1893-11-13, 1986-10-23, 6720
Hans Christian Ørsted, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Hans_Christian_%C3%98rsted_daguerreotype.jpg/220px-Hans_Christian_%C3%98rsted_daguerreotype.jpg, 1777-08-14, 1851-03-09, 17920
Frederick Gowland Hopkins, http://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Frederick_Gowland_Hopkins_nobel.jpg/220px-Frederick_Gowland_Hopkins_nobel.jpg, 1861-06-20, 1947-05-16, 14323
Henri Moissan, http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Henri_Moissan_HiRes.jpg/180px-Henri_Moissan_HiRes.jpg, 1852-09-28, 1907-02-20, 12808
Jerry Buss, http://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Jerry_Buss_playing_the_WSOP.jpg/250px-Jerry_Buss_playing_the_WSOP.jpg, 1933-01-27, 2013-02-18, 19573
Jacques Monod, http://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Jacques_Monod_nobel.jpg/220px-Jacques_Monod_nobel.jpg, 1910-02-09, 1976-05-31, 16787
Mario J. Molina, http://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Mario_Molina_1c389_8387.jpg/180px-Mario_Molina_1c389_8387.jpg, 1943-03-19, , 16640
Charles de Worms, http://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Charles_de_Worms02a.jpg/220px-Charles_de_Worms02a.jpg, , , 2825
Robert Burns Woodward, http://upload.wikimedia.org/wikipedia/en/thumb/b/bf/Robert_Woodward_Nobel.jpg/220px-Robert_Woodward_Nobel.jpg, 1917-04-10, 1979-07-08, 29060
Robert Bruce Merrifield, http://upload.wikimedia.org/wikipedia/en/0/05/Robert_Bruce_Merrifield.jpg, 1921-07-15, 2006-05-14, 9911
Eilhard Mitscherlich, http://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Eilhard_Mitscherlich.jpg/250px-Eilhard_Mitscherlich.jpg, 1794-01-07, 1863-08-28, 10659
Ada Yonath, http://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Ada_E._Yonath.jpg/200px-Ada_E._Yonath.jpg, 1939-06-22, , 18547
Charles Friedel, http://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Charles_Friedel_1890s2.jpg/220px-Charles_Friedel_1890s2.jpg, , 1899-04-20, 3145
Heinrich Otto Wieland, http://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Heinrich_Wieland.jpg/180px-Heinrich_Wieland.jpg, 1877-06-04, 1957-08-05, 8987
Geoffrey Wilkinson, http://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Geoffrey_Wilkinson_ca._1976.png/180px-Geoffrey_Wilkinson_ca._1976.png, 1921-07-14, 1996-09-26, 8978
Peter D. Mitchell, http://upload.wikimedia.org/wikipedia/en/c/cd/Peter_Dennis_Mitchell.jpg, 1920-09-29, 1992-04-10, 11812
Ignacy Łukasiewicz, http://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Ignacy_Lukasiewicz.jpg/240px-Ignacy_Lukasiewicz.jpg, , 1882-01-07, 8589
Viktor Meyer, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Meyer_Viktor.jpg/200px-Meyer_Viktor.jpg, , 1897-08-08, 10894
Peter Debye, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Debije-boerhaave.jpg/220px-Debije-boerhaave.jpg, 1884-03-24, 1966-11-02, 31698
Pierre Macquer, http://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Pierre_Joseph_Macquer.jpg/150px-Pierre_Joseph_Macquer.jpg, , 1784-02-16, 2131
Hartmut Michel, http://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Michel%2C_Hartmut_%281948%29.jpg/220px-Michel%2C_Hartmut_%281948%29.jpg, 1948-07-18, , 8312
Adolf von Baeyer, http://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Adolf_von_Baeyer_%281905%29.jpg/220px-Adolf_von_Baeyer_%281905%29.jpg, 1835-10-31, 1917-08-20, 13390
Roderick MacKinnon, http://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Roderick_MacKinnon%2C_M.D..jpg/240px-Roderick_MacKinnon%2C_M.D..jpg, 1956-02-19, , 11405
Martin Lowry, http://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Thomas_Martin_Lowry2.jpg/240px-Thomas_Martin_Lowry2.jpg, 1874-10-26, 1936-11-02, 3930
Alan MacDiarmid, http://upload.wikimedia.org/wikipedia/commons/thumb/3/34/Alan_MacDiarmid_2005.017.004e_crop.tif/lossy-page1-220px-Alan_MacDiarmid_2005.017.004e_crop.tif.jpg, , , 21045
