name, img, birth, death, length 
Charles Hazelius Sternberg, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/CharlesHSternberg.jpg/220px-CharlesHSternberg.jpg, 1850-06-15, 1943-07-20, 5227
Michael P. Taylor, http://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Michael_P._Taylor.jpg/220px-Michael_P._Taylor.jpg, 1968-03-12, , 1477
Charles Doolittle Walcott, http://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Charles_Walcott.jpg/220px-Charles_Walcott.jpg, 1894, , 16337
Joan Wiffen, http://upload.wikimedia.org/wikipedia/en/thumb/7/75/Joan_Wiffen_with_fossil.jpg/220px-Joan_Wiffen_with_fossil.jpg, 1922-02-04, 2009-06-30, 3121
Elisabeth Vrba, http://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Elisabeth_Vrba_2009-02.JPG/220px-Elisabeth_Vrba_2009-02.JPG, 1942-05-17, , 3972
C. H. Waddington, http://upload.wikimedia.org/wikipedia/en/thumb/9/9d/Conrad_Hal_Waddington.jpg/220px-Conrad_Hal_Waddington.jpg, , 1975-09-27, 18768
Amos Henry Worthen, http://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Amos_Henry_Worthen_-_Appletons_annual_cyclopedia.jpg/220px-Amos_Henry_Worthen_-_Appletons_annual_cyclopedia.jpg, 1813-10-31, 1888-05-06, 1318
Arthur Smith Woodward, http://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/PSM_V75_D415_Arthur_Smith_Woodward.png/175px-PSM_V75_D415_Arthur_Smith_Woodward.png, 1864-05-23, 1944-09-02, 6759
Samuel Wendell Williston, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Williston1890s.jpg/250px-Williston1890s.jpg, 1851-07-10, 1918-08-30, 5604
Tiberius Cornelis Winkler, http://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Tiberius_Cornelius_Winkler.jpg/220px-Tiberius_Cornelius_Winkler.jpg, 1822-05-28, 1897-04-04, 5268
Charles Abiathar White, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/CharlesAbiatharWhiteca1848.jpg/220px-CharlesAbiatharWhiteca1848.jpg, 1836-01-26, 1910-06-29, 3102
Vladimir Zherikhin, http://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/20px-Flag_of_Russia.svg.png, , 2001-12-21, 2699
Richard Swann Lull, http://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Richard_Swann_Lull_by_William_Sergeant_Kendall.jpeg/220px-Richard_Swann_Lull_by_William_Sergeant_Kendall.jpeg, 1867-11-06, 1957-04-22, 4687
Gideon Mantell, http://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Gideonmantell.jpg/220px-Gideonmantell.jpg, 1790-02-03, 1852-11-10, 16702
James Kitching, http://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/James_Kitching.jpg/200px-James_Kitching.jpg, 1922-02-06, 2003-12-24, 6565
Andrew H. Knoll, http://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Andrew-Herbert-Knoll-ForMemRS.jpg/220px-Andrew-Herbert-Knoll-ForMemRS.jpg, , , 10067
Jaroslav Kraft, http://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Kraft3.jpg/220px-Kraft3.jpg, 1940-04-09, 2007-01-10, 6822
Vladimir Kovalevsky (paleontologist), http://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Vladimir_Kovalevsky_%28paleontologist%29.jpg/220px-Vladimir_Kovalevsky_%28paleontologist%29.jpg, , 1883-04-16, 4801
